source,product_name,brand,category,subcategory,price,price_original,discount_pct,rating,review_count,popularity,seller,promo_tag,product_url,sku,url_mal_formateada,duplicado_url,p65,p90,price_tier,rank_popularity,top10_threshold,top_10_popularity,q90_review_count,tiene_descuento
pccomponentes,Razer Kraken X Lite Auriculares Gaming 7.1 Multiplataforma,Razer,Cascos,Cascos,3499.0,,30.0,4.3,5465.0,5465.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/razer-kraken-x-lite-auriculares-gaming-71-multiplataforma,232005.0,False,False,5849.000000000002,10904.5,baja,1,4,True,2803.400000000001,True
pccomponentes,Auriculares Logitech G321 LIGHTSPEED inalÃ¡mbricos Bluetooth para gaming PC/PS4/PS5/Switch Negros,Logitech,Cascos,Cascos,5299.0,,24.0,4.5,4400.0,4400.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/auriculares-logitech-g321-lightspeed-inalambricos-bluetooth-para-gaming-pc-ps4-ps5-switch-negros,10986694.0,False,False,5849.000000000002,10904.5,baja,2,4,True,2803.400000000001,True
pccomponentes,Logitech G432 Auriculares Gaming 7.1,Logitech,Cascos,Cascos,4599.0,,48.0,4.5,3503.0,3503.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/logitech-g432-auriculares-gaming-71,201439.0,False,False,5849.000000000002,10904.5,baja,3,4,True,2803.400000000001,True
pccomponentes,Logitech G733 Lightspeed RGB Auriculares con MicrÃ³fono InalÃ¡mbricos Gaming Negros,Logitech,Cascos,Cascos,9499.0,,40.0,4.6,3464.0,3464.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/logitech-g733-lightspeed-rgb-auriculares-con-microfono-inalambricos-gaming-negros,317616.0,False,False,5849.000000000002,10904.5,media,4,4,True,2803.400000000001,True
pccomponentes,HyperX Cloud III S Wireless Auriculares Gaming InalÃ¡mbricos Bluetooth / 2.4GHz Multiplataforma Negros,HyperX,Cascos,Cascos,9999.0,,33.0,4.7,2730.0,2730.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/hyperx-cloud-iii-s-wireless-auriculares-gaming-inalambricos-bluetooth-24ghz-multiplataforma-negros,10901061.0,False,False,5849.000000000002,10904.5,media,5,4,False,2803.400000000001,True
pccomponentes,HyperX Cloud III Auriculares Gaming Multiplataforma Rojo/Negros,HyperX,Cascos,Cascos,689.0,,31.0,4.7,2730.0,2730.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/hyperx-cloud-iii-auriculares-gaming-multiplataforma-rojo-negros,10744318.0,False,False,5849.000000000002,10904.5,baja,6,4,False,2803.400000000001,True
pccomponentes,Auriculares HyperXÂ Cloud III SÂ Wireless 2.4GHz/Bluetooth con micrÃ³fono y audio espacial Negro/Rojo,HyperX,Cascos,Cascos,10894.0,,27.0,4.7,2730.0,2730.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/auriculares-hyperx-cloud-iii-s-wireless-24ghz-bluetooth-con-microfono-y-audio-espacial-negro-rojo,10944126.0,False,False,5849.000000000002,10904.5,media,7,4,False,2803.400000000001,True
pccomponentes,HyperX Cloud III Auriculares Gaming Multiplataforma Negros,HyperX,Cascos,Cascos,6499.0,,35.0,4.7,2730.0,2730.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/hyperx-cloud-iii-auriculares-gaming-multiplataforma-negros,10744317.0,False,False,5849.000000000002,10904.5,media,8,4,False,2803.400000000001,True
pccomponentes,Tempest GHS PRO 20 Monarch Auriculares Gaming RGB Wireless PC/PS4/PS5/Switch,Tempest,Cascos,Cascos,3499.0,,30.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-ghs-pro-20-monarch-auriculares-gaming-rgb-wireless-pc-ps4-ps5-switch,10826385.0,False,False,5849.000000000002,10904.5,baja,9,4,False,2803.400000000001,True
pccomponentes,Tempest Ethereal Black Edition Auriculares Gaming Wireless Negro,Tempest,Cascos,Cascos,999.0,,50.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-ethereal-black-edition-auriculares-gaming-wireless-negro,10853867.0,False,False,5849.000000000002,10904.5,baja,10,4,False,2803.400000000001,True
pccomponentes,Tempest GHS400 Inquisitor Auriculares Gaming RGB Wireless PC,Tempest,Cascos,Cascos,2999.0,,33.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/tempest-ghs400-inquisitor-auriculares-gaming-rgb-wireless-pc,10817488.0,False,False,5849.000000000002,10904.5,baja,11,4,False,2803.400000000001,True
pccomponentes,Cool Vista Auriculares Gaming Stereo con Adaptador Audio e IluminaciÃ³n Multiplataforma,Cool,Cascos,Cascos,2499.0,,0.0,4.3,2718.0,2718.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/cool-vista-auriculares-gaming-stereo-con-adaptador-audio-e-iluminacion-multiplataforma,10844114.0,False,False,5849.000000000002,10904.5,baja,12,4,False,2803.400000000001,False
pccomponentes,Krom Kopa Pro Auriculares Gaming Blancos,Krom,Cascos,Cascos,1898.0,,0.0,4.3,1703.0,1703.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/krom-kopa-pro-auriculares-gaming-blancos,10867119.0,False,False,5849.000000000002,10904.5,baja,13,4,False,2803.400000000001,False
pccomponentes,Logitech G Pro X Auriculares Gaming InalÃ¡mbricos con Lightspeed Negros,Logitech,Cascos,Cascos,10999.0,,51.0,4.6,1410.0,1410.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/logitech-g-pro-x-auriculares-gaming-inalambricos-con-lightspeed-negros,309280.0,False,False,5849.000000000002,10904.5,alta,14,4,False,2803.400000000001,True
pccomponentes,"Auriculares Razer BlackShark V2 X con cable Jack 3.5mm, CancelaciÃ³n de Ruido y MicrÃ³fono Hyperclear",Razer,Cascos,Cascos,9799.0,,0.0,4.7,1410.0,1410.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/auriculares-razer-blackshark-v2-x-con-cable-jack-35mm-cancelacion-de-ruido-y-microfono-hyperclear,10894097.0,False,False,5849.000000000002,10904.5,media,15,4,False,2803.400000000001,False
pccomponentes,Logitech G PRO X Auriculares Gaming 7.1 Negros,Logitech,Cascos,Cascos,7499.0,,46.0,4.6,1393.0,1393.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/logitech-g-pro-x-auriculares-gaming-71-negros,233878.0,False,False,5849.000000000002,10904.5,media,16,4,False,2803.400000000001,True
pccomponentes,Razer BlackShark V2 X Auriculares Gaming 7.1 Blancos,Razer,Cascos,Cascos,4999.0,,37.0,4.6,1194.0,1194.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/razer-blackshark-v2-x-auriculares-gaming-71-blancos,10359433.0,False,False,5849.000000000002,10904.5,baja,17,4,False,2803.400000000001,True
pccomponentes,Auriculares gaming Razer BlackShark V2 X Playstation con cable y cancelaciÃ³n de ruido blancos,Razer,Cascos,Cascos,4499.0,,25.0,4.6,1194.0,1194.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/auriculares-gaming-razer-blackshark-v2-x-playstation-con-cable-y-cancelacion-de-ruido-blancos,10990337.0,False,False,5849.000000000002,10904.5,baja,18,4,False,2803.400000000001,True
pccomponentes,Steelseries Arctis Nova 5 Auriculares Gaming InalÃ¡mbricos Multiplataforma Negros,Steelseries,Cascos,Cascos,8499.0,,43.0,4.6,896.0,896.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/steelseries-arctis-nova-5-auriculares-gaming-inalambricos-multiplataforma-negros,10836795.0,False,False,5849.000000000002,10904.5,media,19,4,False,2803.400000000001,True
pccomponentes,Forgeon Captain RGB Auriculares con MicrÃ³fono InalÃ¡mbricos Gaming Negros,Forgeon,Cascos,Cascos,5499.0,,31.0,4.5,708.0,708.0,Vendido y enviado por,Aniversario,https://pccomponentes.com/forgeon-captain-rgb-auriculares-con-microfono-inalambricos-gaming-negros,10792513.0,False,False,5849.000000000002,10904.5,baja,20,4,False,2803.400000000001,True
